car,time [us],time [s],NIS
0, 5766666, 5.76667, 1.09902
0, 5800000, 5.8, 1.30655
0, 5833333, 5.83333, 2.71591
0, 5866666, 5.86667, 3.97916
0, 5900000, 5.9, 1.15086
0, 5933333, 5.93333, 2.76649
0, 5966666, 5.96667, 4.02945
0, 6000000, 6, 1.18206
0, 6033333, 6.03333, 0.582384
0, 6066666, 6.06667, 3.01147
0, 6100000, 6.1, 4.94632
0, 6133333, 6.13333, 1.52988
0, 6166666, 6.16667, 0.508942
0, 6200000, 6.2, 3.32693
0, 6233333, 6.23333, 5.08741
0, 6266666, 6.26667, 3.61676
0, 6300000, 6.3, 2.47968
0, 6333333, 6.33333, 6.039
0, 6366666, 6.36667, 4.61472
0, 6400000, 6.4, 8.84664
0, 6433333, 6.43333, 4.08559
0, 6466666, 6.46667, 0.0132732
0, 6500000, 6.5, 6.60788
0, 6533333, 6.53333, 0.727645
0, 6566666, 6.56667, 6.15761
0, 6600000, 6.6, 3.51983
0, 6633333, 6.63333, 0.826627
0, 6666666, 6.66667, 5.46359
0, 6700000, 6.7, 0.370187
0, 6733333, 6.73333, 11.2469
0, 6766666, 6.76667, 1.87923
0, 6800000, 6.8, 4.58216
0, 6833333, 6.83333, 3.02169
0, 6866666, 6.86667, 1.3644
0, 6900000, 6.9, 0.995004
0, 6933333, 6.93333, 4.83028
0, 6966666, 6.96667, 0.0825053
0, 7000000, 7, 5.98118
0, 7033333, 7.03333, 1.2788
0, 7066666, 7.06667, 0.810418
0, 7100000, 7.1, 3.13349
0, 7133333, 7.13333, 2.40306
0, 7166666, 7.16667, 2.13468
0, 7200000, 7.2, 3.70183
0, 7233333, 7.23333, 0.661149
0, 7266666, 7.26667, 0.836551
0, 7300000, 7.3, 1.10264
0, 7333333, 7.33333, 0.56315
0, 7366666, 7.36667, 1.54711
0, 7400000, 7.4, 0.338925
0, 7433333, 7.43333, 2.05524
0, 7466666, 7.46667, 1.54225
0, 7500000, 7.5, 2.53704
0, 7533333, 7.53333, 3.99767
0, 7566666, 7.56667, 0.824665
0, 7600000, 7.6, 5.14233
0, 7633333, 7.63333, 3.74546
0, 7666666, 7.66667, 2.76547
0, 7700000, 7.7, 2.83279
0, 7733333, 7.73333, 0.995514
0, 7766666, 7.76667, 2.89883
0, 7800000, 7.8, 2.06067
0, 7833333, 7.83333, 4.47773
0, 7866666, 7.86667, 3.92387
0, 7900000, 7.9, 2.61244
0, 7933333, 7.93333, 2.52173
0, 7966666, 7.96667, 5.66017
0, 8000000, 8, 3.29629
0, 8033333, 8.03333, 2.12065
0, 8066666, 8.06667, 0.849551
0, 8100000, 8.1, 3.37568
0, 8133333, 8.13333, 2.5256
0, 8166666, 8.16667, 7.3627
0, 8200000, 8.2, 1.69771
0, 8233333, 8.23333, 5.59603
0, 8266666, 8.26667, 1.4311
0, 8300000, 8.3, 8.22072
0, 8333333, 8.33333, 0.777443
0, 8366666, 8.36667, 0.403752
0, 8400000, 8.4, 1.00477
0, 8433333, 8.43333, 8.21391
0, 8466666, 8.46667, 3.37309
0, 8500000, 8.5, 0.0607188
0, 8533333, 8.53333, 1.77712
0, 8566666, 8.56667, 7.66401
0, 8600000, 8.6, 1.41003
0, 8633333, 8.63333, 2.34916
0, 8666666, 8.66667, 3.44384
0, 8700000, 8.7, 0.411074
0, 8733333, 8.73333, 4.56192
0, 8766666, 8.76667, 0.12428
